age,diploma,gender,living_place,csp,close_fam,close_friends,close_neighbors,close_colleagues,knows_fam,knows_friends,knows_neighbors,knows_colleagues,find_job,weight,csoc_Q01_01,csoc_Q01_02,csoc_Q01_03,csoc_Q01_04,csoc_Q01_05,csoc_Q01_06,csoc_Q01_07,csoc_Q01_08,csoc_Q01_09,csoc_Q01_10
4,3,1,1,6,4,3,1,3,1,1,1,1,1,0.918488899391819,3,1,3,3,3,4,2,3,4,1
2,3,1,4,6,4,5,1,4,4,7,1,5,5,1.49291716197346,3,3,1,1,2,3,3,2,4,2
5,1,2,0,5,3,1,1,1,3,2,1,1,7,0.420256969557627,3,4,3,3,4,4,3,3,4,3
3,4,1,0,3,4,4,3,1,3,3,3,,8,0.111123918968482,1,2,2,2,4,4,2,2,2,1
5,3,2,0,4,4,3,3,2,6,3,4,5,7,0.71744330649081,3,4,3,3,4,4,3,1,3,1
4,3,1,4,3,3,3,3,3,1,1,1,1,6,1.09326023487929,2,1,4,4,1,3,2,3,2,2
3,3,2,7,3,3,3,1,3,4,4,2,4,5,0.545175542507554,4,4,1,4,2,3,3,4,4,2
4,4,1,7,3,3,3,1,3,3,3,1,4,5,0.95306477136799,3,3,3,3,3,3,4,2,4,1
4,1,2,0,1,4,4,3,1,1,1,1,1,1,2.32082223038121,4,4,4,3,4,4,3,3,4,3
3,2,2,7,5,3,3,1,3,5,6,1,6,7,0.245755333164729,3,1,1,3,4,3,4,1,1,4
5,2,1,3,4,4,3,4,3,3,3,3,3,1,0.558856313362526,3,2,3,3,4,3,2,2,3,3
5,3,1,7,3,4,3,1,3,4,5,4,3,6,0.436293168724746,1,2,3,3,3,3,3,1,3,1
4,4,2,7,3,3,3,3,3,1,3,3,4,5,0.435938043186234,4,4,3,3,4,3,4,2,3,3
6,2,2,4,2,5,4,3,3,4,3,1,3,8,2.04729282034831,1,1,4,4,4,4,4,3,4,2
5,3,2,5,4,4,3,1,3,4,4,3,4,8,0.616682936165429,4,4,3,3,4,4,3,3,,1
3,2,1,1,6,3,3,1,3,4,5,5,6,1,1.28601498161796,2,4,3,3,4,4,3,3,3,3
5,4,1,7,3,3,3,1,2,4,3,3,4,6,0.0926389032836304,4,3,4,2,3,4,4,4,4,4
3,1,1,7,6,1,1,1,1,1,1,1,1,6,2.7763750780763,4,5,2,1,5,5,1,1,1,1
5,1,2,4,5,5,3,1,1,4,1,1,1,6,2.68997890689896,1,3,3,4,4,3,1,3,1,1
3,4,2,1,3,3,4,1,4,4,6,4,7,3,0.0317863306574863,3,2,3,3,2,3,1,1,1,1
2,3,2,4,5,3,3,1,3,3,4,2,4,8,4.01592638707955,3,1,3,3,3,3,1,3,4,4
6,1,1,7,6,3,3,3,3,3,3,3,3,3,3.21802130594208,4,4,4,4,4,4,4,4,4,4
6,2,1,0,4,3,3,3,1,4,3,3,1,3,1.54619870416226,,1,,3,1,1,3,3,,1
3,3,2,0,4,4,4,4,7,4,4,4,5,6,0.775347586298197,2,4,1,3,3,4,2,2,1,1
6,3,1,7,3,3,3,3,3,3,3,3,3,8,0.0296231926580548,4,3,4,4,4,2,4,2,4,2
4,4,2,4,4,3,3,2,1,3,3,1,1,6,0.591892678143775,4,1,1,3,3,2,3,5,5,1
4,3,1,7,3,3,4,1,3,4,4,1,6,7,0.300952940528711,4,3,4,4,3,4,3,2,4,1
4,4,1,0,3,4,4,1,2,6,5,3,7,8,0.402403795928952,4,2,1,4,3,3,4,2,1,3
6,3,1,3,4,3,2,3,1,3,2,2,1,7,1.01780948490702,4,4,1,3,3,3,3,1,1,2
6,1,2,5,2,3,1,1,1,3,1,1,1,1,1.18055879284769,4,4,4,3,4,4,4,1,4,2
3,3,1,0,1,4,4,3,3,4,4,4,4,3,0.653590908339949,3,1,3,1,2,4,3,2,4,2
4,1,1,2,5,4,3,1,3,3,3,1,3,6,2.50871255063747,2,4,1,1,3,3,3,3,1,2
5,1,1,0,6,3,3,3,,4,3,2,5,3,0.733060527765028,4,4,4,4,4,4,4,4,4,4
5,3,1,6,4,3,3,1,2,4,3,3,3,3,0.695818928093226,4,3,3,3,3,4,4,2,3,1
4,4,1,0,3,4,4,3,5,4,3,3,4,3,0.367495676439317,1,1,3,4,3,4,3,1,4,2
6,2,1,5,6,4,4,2,1,3,3,2,1,8,0.831970586431698,1,4,4,1,4,4,2,4,4,4
4,3,1,7,4,4,3,1,2,4,5,4,5,7,0.0474314506648523,4,3,4,4,4,4,4,4,4,3
3,4,2,5,1,3,3,1,3,3,3,2,1,3,0.42808247323139,2,1,3,3,3,3,3,1,3,2
3,3,2,6,4,3,3,1,1,4,1,1,1,3,0.0399636884265969,2,1,3,2,4,3,3,3,3,1
4,4,2,8,3,3,3,2,3,5,5,3,3,6,0.768237906685114,3,2,3,3,2,3,3,3,4,2
4,3,1,8,6,3,3,4,4,4,5,5,5,5,1.57056924686298,4,4,1,3,4,4,3,3,4,3
2,4,2,3,4,4,4,1,3,3,4,3,4,3,0.557762333591824,4,4,4,4,3,4,4,4,4,3
6,4,1,8,3,3,2,1,1,3,3,1,1,8,0.795879029961502,4,3,3,3,3,4,3,3,4,3
3,2,2,5,5,4,3,1,2,3,3,1,3,3,1.37201737956629,1,3,3,4,4,4,3,3,3,3
4,3,1,3,3,3,4,4,3,4,5,3,4,7,0.244605658653287,3,3,3,3,3,4,4,1,3,1
2,4,2,2,4,3,4,1,1,4,3,1,3,8,1.02338647560558,1,2,3,4,4,4,4,1,4,2
2,4,2,1,4,3,3,1,3,3,3,3,3,5,1.02404787358442,4,2,4,3,4,4,4,3,4,1
6,2,2,4,5,3,3,2,3,1,1,1,1,7,1.25492656452035,4,4,4,4,4,4,4,4,4,4
4,4,2,7,4,3,3,1,2,4,4,1,3,3,0.263460220760523,3,2,4,1,3,2,4,2,3,2
2,3,2,0,4,3,3,1,3,4,4,1,3,5,1.66478971275583,2,4,4,1,2,4,2,2,2,1
3,4,1,8,3,3,3,3,3,3,3,1,1,5,0.0393153680748805,2,1,3,3,4,1,3,1,2,1
2,4,2,0,4,3,3,3,3,4,4,3,3,7,1.00883805754254,2,3,3,2,3,3,3,1,1,1
3,3,2,8,6,3,3,2,4,3,4,2,4,7,0.0440639971334603,3,3,2,1,3,4,3,3,3,2
4,2,2,4,5,1,2,1,1,2,2,1,1,7,1.36897554118494,4,4,4,4,4,4,4,4,4,4
5,2,1,0,6,4,3,2,1,3,3,3,1,6,1.10982105587664,4,5,3,3,3,4,1,3,4,4
7,2,2,4,1,5,5,1,1,5,5,3,1,7,1.02603554504744,,1,1,1,,,1,1,,1
5,3,2,5,4,3,5,6,1,3,4,3,1,7,0.76980424835899,2,2,2,2,4,3,3,2,2,2
5,3,2,7,5,5,2,1,1,4,2,5,1,7,1.25656880721447,4,4,4,4,4,4,3,3,1,1
3,4,2,0,3,3,3,3,2,1,1,1,1,8,0.477018882075984,4,4,4,3,4,4,2,2,4,1
6,3,1,3,3,5,5,3,1,1,3,1,1,1,0.0210290946396599,4,4,4,1,4,4,4,4,4,1
5,2,2,7,3,3,2,3,3,3,2,1,1,8,1.23031794918012,4,4,4,4,4,4,2,1,4,1
3,1,1,1,2,3,3,3,1,3,1,1,1,5,2.21313137068799,1,1,1,3,1,3,3,2,1,1
3,4,1,0,3,3,3,1,3,3,5,3,5,8,0.253122462739399,1,3,3,1,3,3,1,1,1,1
3,3,1,2,3,5,3,1,2,4,3,1,2,3,0.757374359402195,3,2,4,1,3,4,1,3,4,1
4,1,1,2,4,1,3,1,2,3,5,1,4,6,1.90971478286657,3,2,2,4,4,4,3,4,4,3
6,2,1,4,2,3,3,2,1,2,2,2,3,7,1.33353088334153,4,4,3,3,4,4,3,3,4,3
4,3,2,3,4,3,3,1,3,1,3,1,4,3,0.392634596283865,1,2,3,2,5,5,5,5,3,1
5,1,1,0,6,4,5,2,1,3,5,2,1,3,1.43197431263839,1,4,4,2,1,4,1,4,4,2
5,3,2,8,4,3,4,3,3,4,5,4,3,3,0.90885414587806,4,5,4,3,4,3,4,3,4,1
6,3,2,8,2,4,4,3,3,3,3,3,3,8,1.56424877512024,,3,,3,,3,,,,3
6,4,1,8,3,1,2,1,1,1,2,1,1,7,0.876087953541045,4,4,4,4,4,4,4,4,4,3
4,2,1,0,2,1,3,2,2,1,3,2,2,7,0.690947655672037,4,4,4,4,4,4,4,3,4,3
6,4,1,8,4,3,3,1,3,3,3,3,1,8,1.36703509301034,4,4,4,4,4,3,4,4,3,4
6,3,1,0,6,4,1,1,1,4,3,2,3,8,0.456251569413175,2,4,4,4,4,4,3,3,3,1
5,1,2,8,4,3,3,1,2,3,3,1,2,1,0.248817910227235,3,4,3,4,3,4,1,1,1,4
4,2,1,0,6,5,3,2,1,6,4,4,3,3,0.0462954143827435,4,2,3,2,4,4,3,1,3,2
4,4,1,7,3,4,4,1,4,6,6,4,6,3,0.458032812098152,4,1,4,3,3,2,4,3,3,1
6,1,2,2,5,4,3,3,1,3,1,3,1,8,0.216704500476814,4,4,3,2,1,4,2,1,1,1
2,2,1,7,4,2,2,1,1,1,1,1,1,7,3.16019453015166,2,3,3,3,4,4,2,4,4,3
3,4,2,7,3,5,4,1,3,5,6,4,4,7,0.239006473579081,3,1,4,3,2,1,3,1,3,1
5,1,1,8,4,4,4,4,1,4,4,4,1,3,3.29403726306737,4,3,2,2,2,3,1,3,3,1
4,2,1,0,5,6,4,4,6,3,3,4,4,7,1.47863483047219,2,3,3,3,3,1,2,3,3,3
5,2,1,0,4,4,3,1,3,3,1,1,4,1,0.053213376329576,4,4,2,3,3,3,1,1,4,1
6,2,1,0,4,3,3,1,1,1,3,1,3,6,1.32640786550206,1,1,4,4,3,4,3,3,3,3
1,2,1,7,6,1,1,1,1,1,1,1,1,4,4.43684408746299,5,5,5,5,5,5,5,5,5,5
3,3,2,4,5,3,3,1,1,1,1,1,1,8,0.788870906616583,1,4,3,4,4,4,3,3,4,4
3,4,2,7,6,3,2,1,1,4,3,1,1,6,1.34769374020388,4,1,4,3,4,3,1,1,3,1
3,1,2,7,5,4,4,1,2,1,1,1,1,8,4.5962629940941,2,4,2,2,4,4,1,4,1,4
3,3,2,7,3,3,4,1,1,3,6,3,3,5,0.779326547206116,4,2,2,2,3,3,3,2,4,2
4,4,2,0,3,4,3,3,3,4,3,2,3,6,0.42478457025871,3,2,3,3,1,4,1,1,3,1
5,2,2,0,5,1,3,3,1,3,3,3,3,3,0.627201669728528,1,4,4,1,3,4,2,3,1,1
2,4,1,2,3,4,3,1,1,3,1,1,1,7,0.998428855661535,4,1,4,2,4,4,3,1,4,1
4,2,2,0,6,2,1,1,1,1,1,1,1,1,0.634568810467844,4,4,3,4,4,4,4,3,4,4
6,4,1,7,3,4,3,1,1,3,5,4,1,8,0.868162003287913,4,4,4,1,4,4,4,1,4,4
3,3,1,8,5,3,3,1,1,1,1,,1,7,2.26887768925275,4,4,4,4,4,4,4,4,4,4
3,3,1,0,4,3,3,1,1,3,3,1,3,8,0.74450227063205,3,4,2,3,3,2,3,4,1,3
6,2,1,7,6,1,5,1,1,1,1,1,1,3,1.81869428203334,2,3,1,2,3,2,2,4,2,2
4,3,2,0,4,3,3,1,3,1,,3,3,8,0.413348408540322,4,2,3,2,3,4,1,3,1,1
6,3,2,3,5,3,2,1,1,4,3,3,1,8,0.646981504383195,1,4,4,4,4,4,4,1,1,1
4,4,2,6,3,1,5,3,2,4,3,1,1,3,0.245277808796555,2,1,3,3,2,1,2,2,3,1
4,2,2,4,4,2,3,2,1,1,4,4,1,6,1.01696080616324,3,3,3,2,5,3,2,2,2,4
3,4,1,7,3,1,1,1,3,1,3,1,4,6,0.728583403103813,4,2,4,4,4,4,4,4,4,4
6,4,2,8,4,3,3,1,1,1,2,1,1,8,0.589029181205741,4,4,4,4,1,3,4,4,4,1
6,4,2,8,5,5,5,4,1,6,6,4,1,3,0.154771903556211,4,3,3,3,2,1,4,2,4,1
6,1,2,3,5,3,2,2,1,3,2,2,1,3,0.0860179756204879,4,4,3,2,3,4,3,3,2,3
3,4,2,7,3,2,3,1,1,3,3,3,3,7,0.405239309529513,3,3,3,3,1,2,4,3,4,3
1,1,1,7,5,3,2,1,1,3,1,1,2,3,10.0421449244516,4,3,2,1,1,4,3,4,3,3
4,2,2,3,5,3,3,3,2,2,1,1,1,7,1.64509966232315,4,4,4,1,1,4,3,1,3,1
5,1,1,8,4,4,3,1,1,4,3,1,1,7,3.48508967487699,3,3,3,3,3,4,1,1,1,2
2,3,1,8,4,1,3,1,1,1,1,1,1,6,2.5384255414466,4,3,3,4,4,4,3,4,2,4
3,2,1,6,6,4,3,3,2,4,3,3,3,1,0.517764447625997,1,4,4,1,4,4,1,1,3,3
6,1,2,7,5,3,3,3,1,1,3,3,1,7,2.63067359227674,4,4,4,4,4,4,4,1,1,1
5,2,1,0,1,4,3,3,1,4,2,3,1,3,1.08188051955236,4,4,4,4,4,4,4,3,3,1
4,4,2,8,3,3,3,1,1,3,3,4,6,6,0.181286538928953,3,3,4,3,3,4,3,3,2,4
5,2,1,0,6,4,5,4,1,3,3,2,1,3,1.0482335177481,3,3,2,1,2,3,2,2,3,2
5,2,1,7,4,4,5,3,1,5,5,4,1,7,0.474068048444509,3,2,2,3,4,4,1,2,2,2
5,4,2,4,3,2,1,3,2,3,4,3,1,8,0.377086792264464,4,1,4,4,4,3,3,3,1,1
3,3,1,4,4,3,3,1,1,3,5,1,3,7,0.544573714010934,2,2,4,2,4,4,3,3,4,2
3,2,1,1,4,1,1,1,1,1,1,1,1,7,1.06120811939201,4,3,4,4,4,4,4,2,4,4
3,4,2,5,3,3,3,3,3,3,2,2,2,1,0.892073560724696,2,1,4,1,4,3,3,2,3,2
6,3,1,1,6,,,,,,,,,7,0.843347461305972,3,3,3,3,4,3,3,3,1,3
6,2,1,1,6,3,3,1,3,3,3,1,1,7,1.23884963928482,,,,,,,,1,,
5,3,2,7,5,3,3,3,1,3,3,3,1,8,0.712715873355868,4,4,4,3,4,4,4,4,3,1
6,1,2,0,5,5,4,4,1,3,5,3,1,8,2.28859764924628,4,2,1,4,2,2,1,1,1,1
6,3,2,0,3,3,2,1,2,3,3,1,1,8,0.523746331044987,4,3,3,3,3,4,3,3,4,3
5,2,1,7,6,4,3,2,2,1,1,1,2,7,0.524196723159456,4,4,1,4,4,4,1,1,4,4
3,1,1,0,6,3,3,3,1,3,3,3,1,7,1.6153236129142,1,4,4,4,4,4,3,4,4,4
6,4,1,8,6,3,3,3,3,3,3,3,3,1,1.11892961171389,3,3,3,3,3,3,3,3,3,3
2,3,1,7,4,3,3,3,3,2,2,2,2,8,2.39664088310742,4,3,2,3,4,3,3,3,3,3
